key,vin,vehicle_id,stock,year,model,trim,state_of_vehicle,age_days,sale_price_usd,discount_usd,url,image_url,first_seen_utc
KMHLL4DG6SU093231,KMHLL4DG6SU093231,KMHLL4DG6SU093231,H7307,2025,Elantra,SE,NEW,1,20201.0,3839.0,https://www.clarkhyundai.com/new/Hyundai/2025-Hyundai-Elantra-3d6f914cac182a0dbd9c040a05bee987.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/e2efb063-c2ed-47ee-8d75-555674af94e1.jpg,2026-01-03T22:22:40.909788+00:00
KMHLM4DG4SU073010,KMHLM4DG4SU073010,KMHLM4DG4SU073010,H7273,2025,Elantra,SEL Sport,NEW,1,21032.0,4103.0,https://www.clarkhyundai.com/new/Hyundai/2025-Hyundai-Elantra-b789316eac18262dfde24119a5b73cc7.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/d30f1bdc-c56d-4758-9b8b-849651d4fcce.jpg,2026-01-03T22:22:40.909788+00:00
KMHLM4DG4SU090678,KMHLM4DG4SU090678,KMHLM4DG4SU090678,H7299,2025,Elantra,SEL Sport,NEW,1,21006.0,4099.0,https://www.clarkhyundai.com/new/Hyundai/2025-Hyundai-Elantra-3d6f8c77ac182acca33254050ec6c0bb.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/4f625b7e-47ae-4525-8f91-12eb2fc93bdf.jpg,2026-01-03T22:22:40.909788+00:00
KMHLM4DG8SU090067,KMHLM4DG8SU090067,KMHLM4DG8SU090067,H7300,2025,Elantra,SEL Sport,NEW,1,21501.0,4119.0,https://www.clarkhyundai.com/new/Hyundai/2025-Hyundai-Elantra-fa7ca94cac182cddb86dbea1632e1371.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/b8da629e-b9d2-47b7-85fa-f14fd22e0551.jpg,2026-01-03T22:22:40.909788+00:00
KMHLP4DGXSU941714,KMHLP4DGXSU941714,KMHLP4DGXSU941714,H7113,2025,Elantra,Limited,NEW,1,24389.0,4241.0,https://www.clarkhyundai.com/new/Hyundai/2025-Hyundai-Elantra-b48385cdac1822adf8ada85686b30845.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/e1f64a0b-c934-4f4a-a626-bf103be0bcad.jpg,2026-01-03T22:22:40.909788+00:00
KMHLM4DJ4SU177931,KMHLM4DJ4SU177931,KMHLM4DJ4SU177931,H7276,2025,Elantra Hybrid,Blue,NEW,1,22021.0,5284.0,https://www.clarkhyundai.com/new/Hyundai/2025-Hyundai-Elantra-Hybrid-b789272cac1850ce6cf4e5c1ba2c657d.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/dad883c2-a09b-49b0-aabf-1a8b46e76167.jpg,2026-01-03T22:22:40.909788+00:00
KMHLM4DJ6TU190942,KMHLM4DJ6TU190942,KMHLM4DJ6TU190942,H7411,2026,Elantra Hybrid,Blue,NEW,1,25502.0,2303.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Elantra-Hybrid-2af6c2eeac184a361759ee3971cc034c.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/1e52e158-47af-4a79-a8a9-f455ab855d22.jpg,2026-01-03T22:22:40.909788+00:00
KMHLN4DJ0SU179222,KMHLN4DJ0SU179222,KMHLN4DJ0SU179222,H7308,2025,Elantra Hybrid,Limited,NEW,1,26285.0,5440.0,https://www.clarkhyundai.com/new/Hyundai/2025-Hyundai-Elantra-Hybrid-3d6f95cdac184dd26bf9b2361e3427f4.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/81b42dfd-fa8c-4d8d-92ff-255042dd7f22.jpg,2026-01-03T22:22:40.909788+00:00
KMHLN4DJ7SU176141,KMHLN4DJ7SU176141,KMHLN4DJ7SU176141,H7250,2025,Elantra Hybrid,Limited,NEW,1,26223.0,5432.0,https://www.clarkhyundai.com/new/Hyundai/2025-Hyundai-Elantra-Hybrid-133c6e40ac182f06d8c0b5bc04f6a658.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/ee3ca566-922a-4599-9ff7-8fe5f5aa0083.jpg,2026-01-03T22:22:40.909788+00:00
KMHLW4DK6SU030156,KMHLW4DK6SU030156,KMHLW4DK6SU030156,H7375,2025,Elantra N,Base,NEW,1,36260.0,,https://www.clarkhyundai.com/new/Hyundai/2025-Hyundai-Elantra-N-9659916fac1844804ec99d1dc577fd24.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/aef60e03-aea6-4266-9ad9-3e43df10993b.jpg,2026-01-03T22:22:40.909788+00:00
7YAKRDDC0TY044301,7YAKRDDC0TY044301,7YAKRDDC0TY044301,H7398,2026,IONIQ 5,Limited,NEW,1,50212.0,1523.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-IONIQ-5-b886a91bac183899bac477c78ca22276.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/3fd9d879-92cf-4393-b65c-2e94d36e4fe9.jpg,2026-01-03T22:22:40.909788+00:00
KM8KNDDF8RU310334,KM8KNDDF8RU310334,KM8KNDDF8RU310334,H6942,2024,IONIQ 5,SEL,NEW,1,41731.0,12079.0,https://www.clarkhyundai.com/new/Hyundai/2024-Hyundai-IONIQ-5-1b9505f0ac182d8d2ca1c1e8daa36a6b.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/0ec22266-b607-456f-a362-707dcfa8b0be.jpg,2026-01-03T22:22:40.909788+00:00
KM8HACAB0TU392035,KM8HACAB0TU392035,KM8HACAB0TU392035,H7354,2026,Kona,SE,NEW,1,25954.0,3221.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Kona-c7ff656dac1825c50394eb00e5ae8b89.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/86824d9b-55ef-403c-b01e-ddbf64b0a0d8.jpg,2026-01-03T22:22:40.909788+00:00
KM8HACAB6TU382433,KM8HACAB6TU382433,KM8HACAB6TU382433,H7315,2026,Kona,SE,NEW,1,25939.0,3221.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Kona-5c565a62ac18421df72c003fd4a2bfd1.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/c1f747fa-e71a-4b30-920f-3301bf148129.jpg,2026-01-03T22:22:40.909788+00:00
KM8HACAB6TU391228,KM8HACAB6TU391228,KM8HACAB6TU391228,H7352,2026,Kona,SE,NEW,1,25954.0,3221.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Kona-c7ff6918ac180a328479f8352c3a8c97.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/3f25de5e-3b21-49b4-a3c2-f664db405db1.jpg,2026-01-03T22:22:40.909788+00:00
KM8HACAB7TU391237,KM8HACAB7TU391237,KM8HACAB7TU391237,H7353,2026,Kona,SE,NEW,1,25930.0,3220.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Kona-c7ff7090ac183940af9ec96b85d21246.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/faa6adac-5d06-49a7-897c-7e99c6547d4f.jpg,2026-01-03T22:22:40.909788+00:00
KM8HDCA31TU391105,KM8HDCA31TU391105,KM8HDCA31TU391105,H7356,2026,Kona,SEL Premium,NEW,1,28620.0,3740.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Kona-c7ff77c4ac185540a18f331624b4453e.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/e82fc928-5640-457e-aae4-ea0f85a5c046.jpg,2026-01-03T22:22:40.909788+00:00
KM8HFCAB4TU344006,KM8HFCAB4TU344006,KM8HFCAB4TU344006,H7264,2026,Kona,SEL Sport,NEW,1,27133.0,3697.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Kona-268e3aecac1823af1312cfeb02c8053f.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/15482814-9ac8-4595-936f-1c2517cbd591.jpg,2026-01-03T22:22:40.909788+00:00
KM8RJES24TU048335,KM8RJES24TU048335,KM8RJES24TU048335,H7289,2026,Palisade,XRT Pro,NEW,1,48886.0,3144.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Palisade-bcb0794bac182114930ff99402204eac.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/204a2098-16c4-424c-8b49-2d4b22142c66.jpg,2026-01-03T22:22:40.909788+00:00
KM8RMES29TU070970,KM8RMES29TU070970,KM8RMES29TU070970,H7382,2026,Palisade,Calligraphy,NEW,1,54912.0,4743.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Palisade-9b847c66ac1809b98e56e4027e17ce9d.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/68db3955-f6e7-401f-a841-80ec3cf11172.jpg,2026-01-03T22:22:40.909788+00:00
KM8RNES20TU073785,KM8RNES20TU073785,KM8RNES20TU073785,H7393,2026,Palisade,SEL Premium,NEW,1,47211.0,3389.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Palisade-bf8b8a79ac180759d81d476935dbdacc.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/638a51ea-83f6-45fa-97e4-1d9a949e7f10.jpg,2026-01-03T22:22:40.909788+00:00
KM8RMESA0TU030171,KM8RMESA0TU030171,KM8RMESA0TU030171,H7332,2026,Palisade Hybrid,Calligraphy,NEW,1,60580.0,1000.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Palisade-Hybrid-99ba8507ac180b026b2a030f808a83ff.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/2f3f06ff-4293-46b3-80df-95e642c43275.jpg,2026-01-03T22:22:40.909788+00:00
KM8RMESA8TU027423,KM8RMESA8TU027423,KM8RMESA8TU027423,HT7391,2026,Palisade Hybrid,Calligraphy,NEW,1,59395.0,1000.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Palisade-Hybrid-9b848721ac1838769195337fa52814fd.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/d8ed4ef8-5b27-4556-9b65-9617b27aad47.jpg,2026-01-03T22:22:40.909788+00:00
5NTJCDDE0SH127248,5NTJCDDE0SH127248,5NTJCDDE0SH127248,H6998,2025,Santa Cruz,SEL,NEW,1,32699.0,4071.0,https://www.clarkhyundai.com/new/Hyundai/2025-Hyundai-Santa-Cruz-7ddeab1fac183c6d62f782f9eeffc006.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/b9c2b127-69e1-41ec-a643-b65c62b5491f.jpg,2026-01-03T22:22:40.909788+00:00
5NTJCDDE9SH143805,5NTJCDDE9SH143805,5NTJCDDE9SH143805,H7190,2025,Santa Cruz,SEL,NEW,1,32817.0,4063.0,https://www.clarkhyundai.com/new/Hyundai/2025-Hyundai-Santa-Cruz-3cab8ce7ac183bcc1c8b2a5866ad28f4.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/0e72f9ea-d121-4792-bcc4-b8b6ac1519ed.jpg,2026-01-03T22:22:40.909788+00:00
5NTJDDDF1TH168379,5NTJDDDF1TH168379,5NTJDDDF1TH168379,H7400,2026,Santa Cruz,XRT,NEW,1,41255.0,2665.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Santa-Cruz-bf8b8b7cac180c225c7cfa9471a745c7.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/71e2e8a4-3696-4b92-bae0-c00f73622ca3.jpg,2026-01-03T22:22:40.909788+00:00
5NTJEDDF3TH164797,5NTJEDDF3TH164797,5NTJEDDF3TH164797,H7380,2026,Santa Cruz,Limited,NEW,1,43792.0,2763.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Santa-Cruz-f135e6cfac181f3f5066b3cb20af6db0.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/eef879b0-dde1-471a-abd9-ae3b686f5987.jpg,2026-01-03T22:22:40.909788+00:00
5NTJEDDF9TH166800,5NTJEDDF9TH166800,5NTJEDDF9TH166800,H7384,2026,Santa Cruz,Limited,NEW,1,43217.0,2718.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Santa-Cruz-9b847f43ac181d083fdfe8a131150338.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/9bd67d21-0f1c-4c4f-a9a3-6bf9324cce90.jpg,2026-01-03T22:22:40.909788+00:00
5NTJEDDFXTH164814,5NTJEDDFXTH164814,5NTJEDDFXTH164814,H7377,2026,Santa Cruz,Limited,NEW,1,43805.0,2945.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Santa-Cruz-f135e42aac185eebd5a42a45e5dce81e.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/3536f251-00c3-4595-88de-ec3a4ba47e56.jpg,2026-01-03T22:22:40.909788+00:00
5NMP1DGL6TH168782,5NMP1DGL6TH168782,5NMP1DGL6TH168782,H7339,2026,Santa Fe,SE,NEW,1,34474.0,5206.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Santa-Fe-9ee10b89ac183d310e10b67d34ff5691.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/b0698508-1b9d-44e7-969c-9429296eb6cf.jpg,2026-01-03T22:22:40.909788+00:00
5NMP1DGL8TH175796,5NMP1DGL8TH175796,5NMP1DGL8TH175796,H7374,2026,Santa Fe,SE,NEW,1,33861.0,5169.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Santa-Fe-1f8dc685ac184f4976ae1bd061d45db7.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/720a9fa8-8b03-4072-96f1-0e31402e55a6.jpg,2026-01-03T22:22:40.909788+00:00
5NMP2DGL0TH174722,5NMP2DGL0TH174722,5NMP2DGL0TH174722,H7371,2026,Santa Fe,SEL,NEW,1,36276.0,5284.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Santa-Fe-05d7f8c5ac184f4976ae1bd0ca3b0d55.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/436ce77a-6eeb-4997-8d97-483942db726e.jpg,2026-01-03T22:22:40.909788+00:00
5NMP2DGL0TH174994,5NMP2DGL0TH174994,5NMP2DGL0TH174994,H7368,2026,Santa Fe,SEL,NEW,1,36276.0,5284.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Santa-Fe-102d2740ac1803eacf52b0ffecb17415.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/b902994a-c8e5-4da8-9351-9d3659b16519.jpg,2026-01-03T22:22:40.909788+00:00
5NMP2DGL5TH150948,5NMP2DGL5TH150948,5NMP2DGL5TH150948,H7242,2026,Santa Fe,SEL,NEW,1,36922.0,5343.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Santa-Fe-b0784629ac180032dfc838b60f9d872e.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/7312eca8-8fd0-47c2-97dd-a779b5a8b34a.jpg,2026-01-03T22:22:40.909788+00:00
5NMP3DGL0TH153169,5NMP3DGL0TH153169,5NMP3DGL0TH153169,H7266,2026,Santa Fe,XRT,NEW,1,39322.0,5453.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Santa-Fe-3bf09cd2ac184320775b9d9ef05c66f9.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/ffb8103e-c7c5-4689-b04d-081998bd8ea7.jpg,2026-01-03T22:22:40.909788+00:00
5NMP3DGL0TH171025,5NMP3DGL0TH171025,5NMP3DGL0TH171025,H7366,2026,Santa Fe,XRT,NEW,1,39050.0,5440.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Santa-Fe-c7ff6393ac184b304862c01e2f2d93bc.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/ae1d59b2-9946-4ea9-a7ba-6757438d29ff.jpg,2026-01-03T22:22:40.909788+00:00
5NMP5DGL4TH181857,5NMP5DGL4TH181857,5NMP5DGL4TH181857,H7399,2026,Santa Fe,Calligraphy,NEW,1,46171.0,5829.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Santa-Fe-bf8b8cb5ac18169254c6a37297d7eb52.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/349d1c94-1cf5-4bbe-89b0-d5924aba0c82.jpg,2026-01-03T22:22:40.909788+00:00
5NMP1DG12TH092833,5NMP1DG12TH092833,5NMP1DG12TH092833,H7317,2026,Santa Fe Hybrid,SE,NEW,1,34862.0,5488.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Santa-Fe-Hybrid-8a32985aac1819737b2830bba214cc8a.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/346ac969-ec25-48fd-ac95-980c7aee3e38.jpg,2026-01-03T22:22:40.909788+00:00
5NMP1DG14TH087276,5NMP1DG14TH087276,5NMP1DG14TH087276,H7291,2026,Santa Fe Hybrid,SE,NEW,1,34786.0,5489.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Santa-Fe-Hybrid-04c9d1c5ac1818a251d11050a9af138d.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/10d4cbc7-23fa-47c3-867c-421873e58781.jpg,2026-01-03T22:22:40.909788+00:00
5NMP1DG17TH079060,5NMP1DG17TH079060,5NMP1DG17TH079060,H7271,2026,Santa Fe Hybrid,SE,NEW,1,35225.0,5505.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Santa-Fe-Hybrid-8e571bb1ac1805fe4bf6e6e6ad5047fe.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/6f3a3485-48ce-4350-b55b-80ab1a85f6f6.jpg,2026-01-03T22:22:40.909788+00:00
5NMP1DG18TH085174,5NMP1DG18TH085174,5NMP1DG18TH085174,H7292,2026,Santa Fe Hybrid,SE,NEW,1,34806.0,5489.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Santa-Fe-Hybrid-db960bf2ac181cf0de4a1953624dbb52.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/f85f0cfa-7c9c-4862-96c1-1b8c29080fab.jpg,2026-01-03T22:22:40.909788+00:00
5NMP1DG1XTH093308,5NMP1DG1XTH093308,5NMP1DG1XTH093308,H7338,2026,Santa Fe Hybrid,SE,NEW,1,34824.0,5481.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Santa-Fe-Hybrid-a408aca0ac180a328479f83589a1af8d.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/0b1864b6-a8e8-46ea-abff-5473fe7d264b.jpg,2026-01-03T22:22:40.909788+00:00
5NMP2DG11TH077382,5NMP2DG11TH077382,5NMP2DG11TH077382,H7286,2026,Santa Fe Hybrid,SEL,NEW,1,37081.0,5579.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Santa-Fe-Hybrid-8e571e92ac18386f41563893fa24fcf5.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/2eac7df4-db5d-40f9-a721-079941e9cef7.jpg,2026-01-03T22:22:40.909788+00:00
5NMP2DG12TH073907,5NMP2DG12TH073907,5NMP2DG12TH073907,H7247,2026,Santa Fe Hybrid,SEL,NEW,1,37649.0,5611.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Santa-Fe-Hybrid-133c702cac183e5fa6a962c6c90ee171.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/e57a34a8-eaf4-4950-908d-3d19d7f56a6a.jpg,2026-01-03T22:22:40.909788+00:00
5NMP2DG14TH085492,5NMP2DG14TH085492,5NMP2DG14TH085492,H7293,2026,Santa Fe Hybrid,SEL,NEW,1,37117.0,5578.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Santa-Fe-Hybrid-e0bceec7ac1805c330b79c99c7ae0a9d.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/86cccc7e-609d-4e69-95d0-e16896704122.jpg,2026-01-03T22:22:40.909788+00:00
5NMP2DG14TH093186,5NMP2DG14TH093186,5NMP2DG14TH093186,H7330,2026,Santa Fe Hybrid,SEL,NEW,1,37065.0,5560.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Santa-Fe-Hybrid-99ba82c7ac1852aa8aee1317e4f8b7d5.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/df2df1ae-1592-4619-ac82-271a28d2c7a6.jpg,2026-01-03T22:22:40.909788+00:00
5NMP2DG1XTH085013,5NMP2DG1XTH085013,5NMP2DG1XTH085013,H7294,2026,Santa Fe Hybrid,SEL,NEW,1,37056.0,5574.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Santa-Fe-Hybrid-d66fa18bac184a9b6e3800da4be07353.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/b0ee1793-1753-4f76-a9ce-72f833b45d8f.jpg,2026-01-03T22:22:40.909788+00:00
KMHL54JC3TA536353,KMHL54JC3TA536353,KMHL54JC3TA536353,HT7408,2026,Sonata,N Line,NEW,1,34988.0,2717.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Sonata-bf8b894bac1856b0447776284fb8e334.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/e968dba1-7cf5-4eff-857d-bc862c093481.jpg,2026-01-03T22:22:40.909788+00:00
KMHL34JJ7RA099728,KMHL34JJ7RA099728,KMHL34JJ7RA099728,H6967,2024,Sonata Hybrid,SEL,NEW,1,29657.0,3413.0,https://www.clarkhyundai.com/new/Hyundai/2024-Hyundai-Sonata-Hybrid-97862cdbac1852f5fa7d5da3bb3e037c.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/3204f6c9-0325-4cec-921d-131a96716ca5.jpg,2026-01-03T22:22:40.909788+00:00
KMHL34JJ8SA108443,KMHL34JJ8SA108443,KMHL34JJ8SA108443,H7028,2025,Sonata Hybrid,SEL,NEW,1,29180.0,4000.0,https://www.clarkhyundai.com/new/Hyundai/2025-Hyundai-Sonata-Hybrid-03c8dc0bac184137139e77c381d1d2b6.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/cef4c99a-b81f-47a8-8f93-4501eb03d3f2.jpg,2026-01-03T22:22:40.909788+00:00
5NMJACDE0TH643400,5NMJACDE0TH643400,5NMJACDE0TH643400,H7385,2026,Tucson,SE,NEW,1,29104.0,3916.0,https://www.clarkhyundai.com/new/Hyundai/2026-Hyundai-Tucson-009a14a9ac1803eacf52b0ff3f67793e.htm,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/8ee7ee1b-18b2-47a6-a8df-bfdf42b1c1ad.jpg,2026-01-03T22:22:40.909788+00:00
